RUA SENADOR FEIJÓ, 69                                                   SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006900 
RUA SENADOR FEIJÓ, 69                                                   SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006900 
RUA SENADOR FEIJÓ, 143                                                  SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006901 
RUA SENADOR FEIJÓ, 143                                                  SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006901 
RUA SENADOR PAULO EGÍDIO, 15                                            SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006903 
RUA SENADOR PAULO EGÍDIO, 15                                            SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006903 
RUA SENADOR PAULO EGÍDIO, 72                                            SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006904 
RUA SENADOR PAULO EGÍDIO, 72                                            SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006904 
RUA SENADOR FEIJÓ, 143                                                  SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006905 
RUA SENADOR FEIJÓ, 143                                                  SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01006905 
RUA RIACHUELO                                                           SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01007000 
RUA PRIMEIRO DE MARÇO                                                   CENTRO                                                                  RIO DE JANEIRO                                                          RIO DE JANEIRO                                                          RJ20010000 
PRAÇA QUINZE DE NOVEMBRO                                                CENTRO                                                                  RIO DE JANEIRO                                                          RIO DE JANEIRO                                                          RJ20010010 
RUA SÃO JOSÉ                                                            CENTRO                                                                  RIO DE JANEIRO                                                          RIO DE JANEIRO                                                          RJ20010020 
TRAVESSA TINOCO                                                         CENTRO                                                                  RIO DE JANEIRO                                                          RIO DE JANEIRO                                                          RJ20010030 
TRAVESSA TOCANTINS                                                      CENTRO                                                                  RIO DE JANEIRO                                                          RIO DE JANEIRO                                                          RJ20010040 
TRAVESSA TRAJANO DE CARVALHO                                            CENTRO                                                                  RIO DE JANEIRO                                                          RIO DE JANEIRO                                                          RJ20010050 
RUA VISCONDE DE ITABORAÍ                                                CENTRO                                                                  RIO DE JANEIRO                                                          RIO DE JANEIRO                                                          RJ20010060 
RUA CAIS PHAROUX                                                        CENTRO                                                                  RIO DE JANEIRO                                                          RIO DE JANEIRO                                                          RJ20010070 
TRAVESSA DO COMÉRCIO                                                    CENTRO                                                                  RIO DE JANEIRO                                                          RIO DE JANEIRO                                                          RJ20010080 
RUA DOM MANUEL                                                          CENTRO                                                                  RIO DE JANEIRO                                                          RIO DE JANEIRO                                                          RJ20010090 
